effect,cond,condition_type,task_demand_type,aversive_pole,paradigm_class,pc_coarse,n_rollouts_all_waves,refusal_rate_all_waves,cond_text_excerpt,coding_basis
Elliot2010_red_attraction,white,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.01875,"The photograph is printed on a rectangle of solid WHITE, which forms a wide white border all around the picture and fills the rest of the page behind it.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Gervais2012_analytic_priming,analytic_prime,visual_stimulus,religious_belief_report,0,social_priming,priming,232,0.15948275862068967,"The sculpture shows a seated man, naked, hunched forward with his chin resting on one hand, his brow furrowed, absorbed in thought. It is a famous depiction of ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Gervais2012_analytic_priming,control,visual_stimulus,religious_belief_report,0,social_priming,priming,224,0.25,"The sculpture shows a young athlete, naked, caught in mid-motion as he twists his body to throw a discus, weight on one leg, arm swung back. It is a famous depi",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Giessner2007_vertical_power,long_line,visual_stimulus,neutral_judgment,0,social_priming,priming,240,0.008333333333333333,"the vertical line between Mr. B.'s box and the bar above his employees is long, so his box sits far above them.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Giessner2007_vertical_power,short_line,visual_stimulus,neutral_judgment,0,social_priming,priming,240,0.016666666666666666,"the vertical line between Mr. B.'s box and the bar above his employees is short, so his box sits just above them.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Glikson2017_smiley_competence,text_no_smiley,visual_stimulus,neutral_judgment,0,trait_inference,social_inference,240,0.008333333333333333,"Hi guys, My name is Alex and I just wanted to say hello to everybody. I'm glad to work with you and I suggest starting asap. When is the best time for you to me",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Glikson2017_smiley_competence,text_with_smiley,visual_stimulus,neutral_judgment,0,trait_inference,social_inference,240,0.0125,"Hi guys, My name is Alex and I just wanted to say hello to everybody. I'm glad to work with you and I suggest starting asap. :) When is the best time for you to",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
KimMarkus1999_uniqueness_preference,majority_target,visual_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.0,Seven of the nine figures are identical five-pointed stars. The remaining two are identical crescent moons. One of the seven stars has a circle drawn around it ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
KimMarkus1999_uniqueness_preference,minority_target,visual_stimulus,neutral_judgment,0,jdm_bias,jdm_or_perceptual,160,0.0,Seven of the nine figures are identical five-pointed stars. The remaining two are identical crescent moons. One of the two crescent moons has a circle drawn aro,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Stevenson2000_web_brand_attitude,busy_background,visual_stimulus,neutral_judgment,0,social_judgment,social_inference,160,0.0,"The page background is a strongly patterned tile of overlapping bright orange and green diagonal stripes, repeated across the whole window. The photograph and t",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Stevenson2000_web_brand_attitude,plain_background,visual_stimulus,neutral_judgment,0,social_judgment,social_inference,160,0.00625,"The page background is plain white. The photograph and the text sit on it with generous empty space around them, and nothing else is on the page.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Zarkadi2013_visual_contrast,black_white,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.0,"The whole background of the page, all around the panel, is a checkerboard of black and white squares.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Zarkadi2013_visual_contrast,blue_yellow,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.0,"The whole background of the page, all around the panel, is a checkerboard of blue and yellow squares.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Zarkadi2013_visual_contrast,gray,visual_stimulus,neutral_judgment,0,social_priming,priming,160,0.00625,"The whole background of the page, all around the panel, is a uniform mid-gray.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
